id,theme,question
1,指定ごみ袋,指定ごみ袋は必ず使わないといけませんか？
2,指定ごみ袋,指定袋じゃない袋で出してもいいですか？
3,指定ごみ袋,レジ袋でごみを出すことはできますか？
4,指定ごみ袋,スーパーの袋はごみ袋として使えますか？
5,指定ごみ袋,指定ごみ袋がないときはどうすればいいですか？
6,指定ごみ袋,指定ごみ袋は何種類ありますか？
7,指定ごみ袋,指定ごみ袋のサイズにはどんなものがありますか？
8,指定ごみ袋,指定ごみ袋の口は縛る必要がありますか？
9,指定ごみ袋,指定袋を二重にして出してもいいですか？
10,指定ごみ袋,指定ごみ袋を使わずに出すと回収されませんか？
11,出すタイミング,ごみは朝何時までに出せばいいですか？
12,出すタイミング,前日の夜にごみを出してもいいですか？
13,出すタイミング,雨の日でもごみは出しますか？
14,出すタイミング,台風の日はごみ収集はありますか？
15,出すタイミング,祝日でもごみ収集は行われますか？
16,出すタイミング,年末年始のごみ収集はどうなりますか？
17,出すタイミング,収集日に出し忘れた場合はどうすればいいですか？
18,出すタイミング,朝遅れて出したごみは回収されますか？
19,出すタイミング,収集日以外にごみを出すことはできますか？
20,出すタイミング,その日の朝に間に合わなかった場合の対応を教えてください
21,分別が難しいもの,スプレー缶は何ごみですか？
22,分別が難しいもの,カセットボンベはどうやって捨てますか？
23,分別が難しいもの,傘は何ごみに分ければいいですか？
24,分別が難しいもの,鍋やフライパンは何ごみになりますか？
25,分別が難しいもの,割れたガラスはどうやって出せばいいですか？
26,分別が難しいもの,CDやDVDは何ごみですか？
27,分別が難しいもの,プラスチック製のおもちゃは何ごみですか？
28,分別が難しいもの,金属とプラスチックが混ざったものはどう分別しますか？
29,分別が難しいもの,小さな家電は何ごみですか？
30,分別が難しいもの,ハンガーは何ごみに出せばいいですか？
31,電池・危険物,乾電池は何ごみですか？
32,電池・危険物,ボタン電池はどうやって捨てますか？
33,電池・危険物,モバイルバッテリーは何ごみになりますか？
34,電池・危険物,リチウムイオン電池はどう処分すればいいですか？
35,電池・危険物,充電式電池は不燃ごみに出していいですか？
36,電池・危険物,電池の端子はテープで絶縁する必要がありますか？
37,電池・危険物,使い終わった電池は袋にまとめて出していいですか？
38,電池・危険物,電池が膨らんでいる場合はどうすればいいですか？
39,電池・危険物,壊れたモバイルバッテリーは捨てられますか？
40,電池・危険物,電池類を間違って出すと危険ですか？
41,プラスチック,プラスチックごみは洗う必要がありますか？
42,プラスチック,汚れたプラスチックはどう分別しますか？
43,プラスチック,コンビニ弁当の容器は何ごみですか？
44,プラスチック,発泡スチロールは何ごみになりますか？
45,プラスチック,ペットボトルのラベルは剥がす必要がありますか？
46,プラスチック,ペットボトルのキャップはどうしますか？
47,プラスチック,マヨネーズのチューブは何ごみですか？
48,プラスチック,プラスチック製の袋は全部プラごみですか？
49,プラスチック,食品トレーはどうやって出しますか？
50,プラスチック,資源ごみとプラごみの違いが分かりません
51,可燃ごみ,生ごみは水切りをする必要がありますか？
52,可燃ごみ,生ごみはそのまま袋に入れていいですか？
53,可燃ごみ,紙おむつは何ごみですか？
54,可燃ごみ,ティッシュや紙くずは何ごみですか？
55,可燃ごみ,木製の箸は可燃ごみですか？
56,可燃ごみ,使い捨てカイロは何ごみですか？
57,可燃ごみ,食べ残しはそのまま出してもいいですか？
58,可燃ごみ,油で汚れた紙は可燃ごみですか？
59,可燃ごみ,落ち葉や草はどうやって出しますか？
60,可燃ごみ,ペットのトイレ砂は何ごみですか？
61,不燃ごみ,ガラス製品は不燃ごみですか？
62,不燃ごみ,陶器のお皿は何ごみですか？
63,不燃ごみ,割れた茶碗はどう出せばいいですか？
64,不燃ごみ,鏡は不燃ごみでいいですか？
65,不燃ごみ,電球は何ごみに出せばいいですか？
66,不燃ごみ,蛍光灯はどうやって捨てますか？
67,不燃ごみ,金属製の小物は不燃ごみですか？
68,不燃ごみ,刃物はどのように出せば安全ですか？
69,不燃ごみ,カミソリは何ごみですか？
70,不燃ごみ,不燃ごみは袋に入れる必要がありますか？
71,粗大ごみ,粗大ごみはどうやって申し込みますか？
72,粗大ごみ,粗大ごみの収集にはお金がかかりますか？
73,粗大ごみ,家具は粗大ごみになりますか？
74,粗大ごみ,布団は粗大ごみですか？
75,粗大ごみ,自転車はどうやって捨てますか？
76,粗大ごみ,マットレスは粗大ごみですか？
77,粗大ごみ,粗大ごみは持ち込みできますか？
78,粗大ごみ,粗大ごみを分解して出してもいいですか？
79,粗大ごみ,粗大ごみの回収日はいつですか？
80,粗大ごみ,引っ越しで大量に出る場合はどうすればいいですか？
81,転入者向け,岡崎市に引っ越してきました。ごみの出し方を教えてください
82,転入者向け,ごみカレンダーはどこで確認できますか？
83,転入者向け,町内会に入らないとごみは出せませんか？
84,転入者向け,ごみ集積所はどこを使えばいいですか？
85,転入者向け,マンションのごみ出しルールは市と違いますか？
86,転入者向け,外国人でも同じごみルールですか？
87,転入者向け,一人暮らしでも指定袋は必要ですか？
88,転入者向け,子どもが出したごみでも回収されますか？
89,転入者向け,ごみ分別が分からないときはどこに聞けばいいですか？
90,転入者向け,ごみを間違えて出した場合どうなりますか？
91,クレーム系,ごみが回収されていなかったのはなぜですか？
92,クレーム系,収集車が来なかった気がします
93,クレーム系,ごみ出しルールが厳しすぎる気がします
94,クレーム系,他の市町村とごみの出し方は違いますか？
95,クレーム系,指定袋が高いのはなぜですか？
96,クレーム系,ごみを出せる場所が遠くて困っています
97,クレーム系,夜しか出せない人はどうすればいいですか？
98,クレーム系,祝日のごみ出しが分かりにくいです
99,クレーム系,分別が細かすぎて覚えられません
100,クレーム系,ごみの出し方を簡単に確認する方法はありますか？
